"행정구역","2012년_총인구수","2012년_세대수","2012년_세대당 인구","2012년_남자 인구수","2012년_여자 인구수","2012년_남여 비율","2013년_총인구수","2013년_세대수","2013년_세대당 인구","2013년_남자 인구수","2013년_여자 인구수","2013년_남여 비율","2014년_총인구수","2014년_세대수","2014년_세대당 인구","2014년_남자 인구수","2014년_여자 인구수","2014년_남여 비율"
"세종특별자치시 세종특별자치시 세종특별자치시 (3611000000)","113,117","46,592","          2.43","57,633","55,484","          1.04","122,153","50,045","          2.44","62,205","59,948","          1.04","156,125","62,807","          2.49","78,862","77,263","          1.02"
"세종특별자치시  조치원읍(3611025000)","44,034","17,419","          2.53","22,329","21,705","          1.03","47,401","18,807","          2.52","24,049","23,352","          1.03","47,009","18,895","          2.49","23,838","23,171","          1.03"
"세종특별자치시  연기면(3611031000)","3,125","1,434","          2.18","1,596","1,529","          1.04","2,840","1,326","          2.14","1,491","1,349","          1.11","2,739","1,290","          2.12","1,437","1,302","          1.10"
"세종특별자치시  연동면(3611032000)","3,970","1,947","          2.04","2,014","1,956","          1.03","3,921","1,947","          2.01","2,005","1,916","          1.05","3,886","1,939","          2.00","1,969","1,917","          1.03"
"세종특별자치시  부강면(3611033000)","6,663","2,878","          2.32","3,474","3,189","          1.09","6,767","2,967","          2.28","3,535","3,232","          1.09","6,765","3,037","          2.23","3,540","3,225","          1.10"
"세종특별자치시  금남면(3611034000)","10,400","4,805","          2.16","5,366","5,034","          1.07","10,199","4,666","          2.19","5,277","4,922","          1.07","9,872","4,539","          2.17","5,120","4,752","          1.08"
"세종특별자치시  장군면(3611035000)","4,910","2,308","          2.13","2,575","2,335","          1.10","5,308","2,580","          2.06","2,794","2,514","          1.11","5,479","2,666","          2.06","2,891","2,588","          1.12"
"세종특별자치시  연서면(3611036000)","7,784","3,339","          2.33","4,038","3,746","          1.08","7,711","3,375","          2.28","3,983","3,728","          1.07","7,673","3,457","          2.22","3,985","3,688","          1.08"
"세종특별자치시  전의면(3611037000)","6,985","3,201","          2.18","3,569","3,416","          1.04","6,847","3,187","          2.15","3,495","3,352","          1.04","6,740","3,174","          2.12","3,451","3,289","          1.05"
"세종특별자치시  전동면(3611038000)","4,124","2,205","          1.87","2,227","1,897","          1.17","4,112","2,217","          1.85","2,215","1,897","          1.17","4,118","2,219","          1.86","2,230","1,888","          1.18"
"세종특별자치시  소정면(3611039000)","2,970","1,278","          2.32","1,513","1,457","          1.04","2,965","1,278","          2.32","1,529","1,436","          1.06","2,940","1,314","          2.24","1,513","1,427","          1.06"
"세종특별자치시  한솔동(3611051000)","18,152","5,778","          3.14","8,932","9,220","          0.97","24,082","7,695","          3.13","11,832","12,250","          0.97","20,150","6,300","          3.20","9,829","10,321","          0.95"
"세종특별자치시  도담동(3611052000)","0","0","          0.00","0","0","          0.00","","","","","","","38,754","13,977","          2.77","19,059","19,695","          0.97"
